datetime,ticker,market,signal,price
2025-05-17T19:53:25.399935,AAPL,US,SELL,211.19000244140625
2025-05-17T19:53:25.415171,SABIC,Saudi,SELL,112.1
2025-05-17T19:57:30.807060,AAPL,US,SELL,211.19000244140625
2025-05-17T19:57:30.811239,SABIC,Saudi,SELL,112.1
2025-05-18T13:44:49.381471,AAPL,US,SELL,211.19000244140625
2025-05-18T13:44:49.386408,SABIC,Saudi,SELL,112.1
2025-05-18T13:46:19.548347,AAPL,US,SELL,211.19000244140625
2025-05-18T13:46:19.555012,SABIC,Saudi,SELL,112.1
2025-05-18T13:48:44.020479,AAPL,US,SELL,211.19000244140625
2025-05-18T13:48:44.024613,SABIC,Saudi,SELL,112.1
2025-05-18T13:51:16.802403,AAPL,US,SELL,211.19000244140625
2025-05-18T13:51:16.813848,SABIC,Saudi,SELL,112.1
2025-05-18T13:57:51.776928,AAPL,US,SELL,211.19000244140625
2025-05-18T13:57:51.785559,SABIC,Saudi,SELL,112.1
2025-05-19T22:18:52.112325,AAPL,US,HOLD,208.3000030517578
2025-05-19T22:18:52.121326,SABIC,Saudi,HOLD,112.1
2025-05-19T22:21:43.281723,AAPL,US,HOLD,208.16000366210938
2025-05-19T22:21:43.305130,SABIC,Saudi,HOLD,112.1
2025-05-19T22:21:43.310128,STC,Saudi,HOLD,39.7
2025-05-19T22:21:43.314128,ALRAJHI,Saudi,HOLD,84.1
2025-05-19T22:21:43.317128,ARAMCO,Saudi,HOLD,32.2
2025-05-19T22:35:10.368073,AAPL,US,HOLD,208.31080627441406
2025-05-19T22:35:10.382076,SABIC,Saudi,HOLD,112.1
2025-05-19T22:35:10.392072,STC,Saudi,HOLD,39.7
2025-05-19T22:35:10.397293,ALRAJHI,Saudi,HOLD,84.1
2025-05-19T22:35:10.401293,ARAMCO,Saudi,HOLD,32.2
2025-05-19T22:37:21.998412,AAPL,US,HOLD,208.27999877929688
2025-05-19T22:37:22.023008,SABIC,Saudi,HOLD,112.1
2025-05-19T22:37:22.042275,STC,Saudi,HOLD,39.7
2025-05-19T22:37:22.051275,ALRAJHI,Saudi,HOLD,84.1
2025-05-19T22:37:22.057274,ARAMCO,Saudi,HOLD,32.2
2025-05-19T22:38:09.549121,AAPL,US,HOLD,208.2100067138672
2025-05-19T22:38:09.559122,SABIC,Saudi,HOLD,112.1
2025-05-19T22:38:09.564354,STC,Saudi,HOLD,39.7
2025-05-19T22:38:09.567355,ALRAJHI,Saudi,HOLD,84.1
2025-05-19T22:38:09.570353,ARAMCO,Saudi,HOLD,32.2
2025-05-19T22:41:18.239647,AAPL,US,HOLD,208.31069946289062
2025-05-19T22:43:29.456036,AAPL,US,HOLD,208.14999389648438
